1,1.7209,-101.1035,10,4.5,69,20972,0.64,15.7,1.9
1,17.5318,-101.1153,35,4.8,113,2106,0.83,8.3,1.9
1,2.2953,-101.3217,10,4.6,69,15412,0.47,12.4,1.3
1,-8.9533,-108.2803,10,4.6,164,19714,1.19,15.9,1.9
1,-8.8873,-108.6489,10,4.6,61,28107,0.63,14.1,1.9
1,-19.6686,-11.9348,10,4.7,97,27085,0.49,14.2,1.9
1,-19.5677,-11.9997,10,4.7,85,34511,0.74,13.7,1.9
1,28.0327,-111.9821,10,4.3,160,3745,1.13,5.5,2
1,-13.6967,-112.3904,10,4.6,90,42773,0.67,16.3,1.9
1,-22.1249,-114.2851,10,4.5,76,39739,0.56,12.3,1.7
1,44.3121,-115.1194,12.99,3.8,48,906,0.43,2.3,9.9
1,44.3613,-115.1389,10,3.6,50,951,0.85,2.6,2
1,44.3211,-115.1624,13.23,4.3,47,287,0.77,2.6,1.6
1,44.3695,-115.1937,5.91,3.6,28,919,1.11,2.3,4.9
1,44.3558,-115.2303,10,4.1,25,914,0.75,4.9,2
1,-23.3825,-116.2724,10,4.5,143,40765,0.61,17.1,1.9
1,-19.7315,-12.0262,10,4.5,78,7059,0.37,10.5,1.6
1,-19.9516,-12.1806,10,4.9,54,7298,0.87,9.8,1.8
1,44.4047,-129.4761,10,4.2,197,4054,0.57,9.5,1.9
1,-54.3965,-136.1505,10,5.4,56,30673,0.91,11.8,1.9
1,69.56,-144.2436,5.86,4,101,198,0.52,3.1,5.7
1,56.0176,-149.2094,10,4.3,186,2557,0.81,7.6,2
1,53.5564,-166.1006,87.62,4.8,136,376,1.26,7.9,5.6
1,52.4909,-167.9958,25.95,4.1,213,1626,0.77,12,13.9
1,52.7104,-170.5937,112.27,3.9,179,2705,1.24,6.9,15
1,53.2555,-171.0598,193.61,3.9,160,2781,0.53,11.6,7
1,51.9796,-171.1627,53.71,4.1,177,3027,1.22,9.6,10.1
1,-16.7251,-172.5612,90.93,4.1,118,2899,0.89,11,9.4
1,-19.1938,-172.5736,10,4.7,111,2504,0.82,11.2,1.9
1,-20.0093,-172.6695,10,4.8,88,2747,1.25,11.2,1.9
1,-19.7498,-172.7118,10,4.5,159,2712,0.48,12.5,1.9
1,-19.2789,-172.7467,34.8,4.4,142,2672,0.42,9.3,8.4
1,-19.7323,-172.8457,10,4.5,130,2.83,0.83,10.6,1.9
1,-15.6665,-172.9271,10,4.6,108,2068,1.08,9.2,1.9
1,-19.2884,-173.3024,10,5.1,84,12843,0.58,13.1,1.9
1,51.7567,-173.5029,36.72,3.7,196,1619,0.72,10.9,10.3
1,-16.6432,-173.5632,81.4,4.8,69,4224,0.96,8.9,7.1
1,-16.1046,-173.6961,29.77,4.9,67,2861,0.69,8.9,4.7
1,-15.2422,-173.7097,10,4.4,95,2288,0.86,11.4,1.6
1,-21.0731,-173.8681,10,4.7,109,4203,0.91,10.8,1.8
1,-20.7196,-174.2743,65.02,4.5,134,4405,0.91,8.5,8.6
1,52.6959,-174.3559,195.82,4.3,153,1206,0.98,12.6,14.5
1,-23.9069,-174.5171,10,5.1,98,6131,0.85,3.6,1.9
1,-16.7292,-174.6147,135.27,4.3,74,3915,1.14,8.1,8.7
1,-23.5429,-174.7006,10,4.9,97,6288,1.47,12.2,1.9
1,-22.5965,-174.9154,10,4.5,93,5833,1.09,14,1.9
1,51.6324,-175.1671,35,3.5,204,589,0.49,3,2
1,-21.5867,-175.3961,43.23,5,40,5707,0.71,9.7,5.7
1,-18.7354,-175.4221,278.96,4.5,78,5212,0.97,8.2,7.2
1,-24.3847,-176.6023,92.65,4.9,121,4983,0.86,10.9,6.1
